action step time goats tigers
[predate] 303 0.26543784899003275 416 542
[predate] 304 0.26887628031598176 415 543
[predate] 305 0.2720097420427085 414 544
[die] 306 0.27388510491168633 414 543
[die] 307 0.2773385244262641 414 542
[die] 308 0.27840161416227965 414 541
[die] 309 0.2788418676984451 414 540
[die] 310 0.27942646853395336 414 539
[grow] 311 0.27983283844737333 415 539
[die] 312 0.2800004313845513 415 538
[predate] 313 0.28014072302881865 414 539
[die] 314 0.28099668261413524 414 538
[predate] 315 0.28206807277870716 413 539
[die] 316 0.282867261545024 413 538
[grow] 317 0.2835896748331345 414 538
[grow] 318 0.284511932436362 415 538
[die] 319 0.2846136971187496 415 537
[predate] 320 0.28624789382660054 414 538
[grow] 321 0.28773596970633986 415 538
[predate] 322 0.2886693413205125 414 539
[grow] 323 0.2895634134477216 415 539
[die] 324 0.2897907075764844 415 538
[die] 325 0.2908969947015536 415 537
[predate] 326 0.29165838299110125 414 538
[predate] 327 0.291707443124999 413 539
[predate] 328 0.2938432774110692 412 540
[predate] 329 0.29397401457754446 411 541
[grow] 330 0.2964786489804233 412 541
[die] 331 0.29677790271801807 412 540
[predate] 332 0.29717883932985806 411 541
[predate] 333 0.29762139895740525 410 542
[predate] 334 0.29788633833487593 409 543
[predate] 335 0.29946589174743077 408 544
[die] 336 0.29970139698543996 408 543
[die] 337 0.29987610195325554 408 542
[predate] 338 0.30013029464910024 407 543
[grow] 339 0.30227304799932336 408 543
[die] 340 0.3026212484783942 408 542
[predate] 341 0.3027126629303583 407 543
[predate] 342 0.30289671692196235 406 544
[die] 343 0.30332756133281147 406 543
[die] 344 0.30333295765995955 406 542
[predate] 345 0.3034449349490367 405 543
[predate] 346 0.3044227104783157 404 544
[predate] 347 0.30592276015758363 403 545
[predate] 348 0.30901997108399776 402 546
[die] 349 0.3093340482814747 402 545
[die] 350 0.31334517083533453 402 544
[die] 351 0.3168419237042399 402 543
[predate] 352 0.3172199762916212 401 544
[die] 353 0.31725856044723105 401 543
[die] 354 0.3175434750141427 401 542
[die] 355 0.31898369700033846 401 541
[die] 356 0.3192884973758706 401 540
[die] 357 0.3197901345937341 401 539
[die] 358 0.320317526546516 401 538
[predate] 359 0.3206384232331308 400 539
[grow] 360 0.3219747952402067 401 539
[die] 361 0.32726840152294717 401 538
[predate] 362 0.327877184529834 400 539
[predate] 363 0.3280885148483735 399 540
[predate] 364 0.32829404952389496 398 541
[predate] 365 0.328308485207658 397 542
[predate] 366 0.32916945768380756 396 543
[die] 367 0.3312154333676548 396 542
[predate] 368 0.33234194979299053 395 543
[predate] 369 0.3323534240017643 394 544
[grow] 370 0.33369470826476033 395 544
[predate] 371 0.33372524794333996 394 545
[predate] 372 0.33539145921372876 393 546
[predate] 373 0.3358964871403073 392 547
[grow] 374 0.3366378784357279 393 547
[predate] 375 0.33679035389429524 392 548
[grow] 376 0.33709331334517373 393 548
[predate] 377 0.3372028343122795 392 549
[die] 378 0.340326133384456 392 548
[die] 379 0.3416098620539459 392 547
[grow] 380 0.34267968963956363 393 547
[predate] 381 0.3432069842559405 392 548
[die] 382 0.3443004500524433 392 547
[die] 383 0.3445227757357206 392 546
[predate] 384 0.34518994240599093 391 547
[predate] 385 0.3500684742176403 390 548
[die] 386 0.35062539935440057 390 547
[die] 387 0.3507332910025844 390 546
[grow] 388 0.35107195320635404 391 546
[predate] 389 0.3519390760198562 390 547
[predate] 390 0.3522103259626212 389 548
[die] 391 0.35325480921151076 389 547
[predate] 392 0.3541382379313154 388 548
[predate] 393 0.3570577907571709 387 549
[grow] 394 0.35726259222573786 388 549
[die] 395 0.35827754565852893 388 548
[predate] 396 0.35954626805518436 387 549
[predate] 397 0.3604262084207406 386 550
[predate] 398 0.36120902785319836 385 551
[die] 399 0.36127789796414056 385 550
[grow] 400 0.36177425329893165 386 550
[predate] 401 0.3630463376766825 385 551
[predate] 402 0.3637511654430671 384 552
[die] 403 0.366039237795106 384 551
[predate] 404 0.3686936268283261 383 552
[predate] 405 0.3688018538998477 382 553
[grow] 406 0.3688990282428715 383 553
[grow] 407 0.37048846459692275 384 553
[predate] 408 0.3709540515548855 383 554
[predate] 409 0.3716041590656261 382 555
[die] 410 0.3716288136363095 382 554
[predate] 411 0.37386625730141404 381 555
[predate] 412 0.37436571846446715 380 556
[die] 413 0.3749019364293943 380 555
[die] 414 0.3763268564379926 380 554
[predate] 415 0.37681199889113454 379 555
[predate] 416 0.3771180680013632 378 556
[die] 417 0.37878374625840616 378 555
[die] 418 0.378922130213719 378 554
[grow] 419 0.3801512259486205 379 554
[die] 420 0.38018687924829525 379 553
[die] 421 0.38278065336683176 379 552
[die] 422 0.3828861499259691 379 551
[predate] 423 0.3843605030092772 378 552
[predate] 424 0.38627377741226687 377 553
[predate] 425 0.38699258216654275 376 554
[predate] 426 0.3871279370462693 375 555
[predate] 427 0.38799340723614717 374 556
[predate] 428 0.3883365899463356 373 557
[die] 429 0.3892614738866273 373 556
[predate] 430 0.3909447900487501 372 557
[die] 431 0.39270037196742374 372 556
[grow] 432 0.3943734323970453 373 556
[die] 433 0.3944423302440811 373 555
[die] 434 0.3946979573153874 373 554
[predate] 435 0.3955902099833349 372 555
[die] 436 0.3976395532548232 372 554
[predate] 437 0.39978453434150407 371 555
[grow] 438 0.4008864134488887 372 555
[die] 439 0.4012258374508264 372 554
[grow] 440 0.40127408872981013 373 554
[predate] 441 0.4032373465638107 372 555
[die] 442 0.4045411639558566 372 554
[die] 443 0.40488275261257617 372 553
[predate] 444 0.4059732146427398 371 554
[die] 445 0.40601592146145093 371 553
[die] 446 0.4085372808600073 371 552
[die] 447 0.4090650647434667 371 551
[predate] 448 0.41078968921442116 370 552
[predate] 449 0.4109395946124215 369 553
[die] 450 0.41256220004779665 369 552
[predate] 451 0.4144097596449531 368 553
[predate] 452 0.4153246085923717 367 554
[grow] 453 0.4159485116874563 368 554
[die] 454 0.4164200547766671 368 553
[predate] 455 0.41799215522965777 367 554
[die] 456 0.41951598811799234 367 553
[predate] 457 0.4219999562125633 366 554
[grow] 458 0.42236096978844406 367 554
[predate] 459 0.4228730291839896 366 555
[grow] 460 0.4235934941949483 367 555
[grow] 461 0.42455987988219146 368 555
[grow] 462 0.42618953137826615 369 555
[predate] 463 0.4264045659668867 368 556
[die] 464 0.4266150899485522 368 555
[grow] 465 0.4269960973125702 369 555
[die] 466 0.4281587891027035 369 554
[grow] 467 0.4285575913258221 370 554
[predate] 468 0.4288164849861545 369 555
[die] 469 0.4292492527678751 369 554
[predate] 470 0.43111455712031005 368 555
[die] 471 0.43153291116923076 368 554
[predate] 472 0.43185254896313285 367 555
[die] 473 0.4322718970295924 367 554
[grow] 474 0.4323036032836102 368 554
[predate] 475 0.4323108396158831 367 555
[predate] 476 0.4328083212666216 366 556
[grow] 477 0.43289867495026985 367 556
[die] 478 0.43656602213995593 367 555
[predate] 479 0.4370633202585973 366 556
[predate] 480 0.4376820195615563 365 557
[predate] 481 0.43888917027480745 364 558
[predate] 482 0.43958898831036247 363 559
[grow] 483 0.43978863289822134 364 559
[predate] 484 0.44043507223145956 363 560
[predate] 485 0.441319204762047 362 561
[die] 486 0.44167966206133424 362 560
[predate] 487 0.4457128559555546 361 561
[predate] 488 0.44608046923343125 360 562
[die] 489 0.4466641003767113 360 561
[die] 490 0.4472231875586069 360 560
[die] 491 0.4486916035818385 360 559
[die] 492 0.4488487149803403 360 558
[die] 493 0.4490548473787955 360 557
[predate] 494 0.44998163268825675 359 558
[predate] 495 0.45082151466940545 358 559
[die] 496 0.45136724069366635 358 558
[grow] 497 0.4519933987172367 359 558
[grow] 498 0.45323619910995394 360 558
[die] 499 0.4535361636165338 360 557
[die] 500 0.45566327708000254 360 556
[predate] 501 0.459319554534326 359 557
[predate] 502 0.4609485185516202 358 558
[die] 503 0.4609506945267367 358 557
[grow] 504 0.46101398415656075 359 557
[die] 505 0.46417072729660325 359 556
[die] 506 0.4645153602340237 359 555
[predate] 507 0.4647675213177299 358 556
[die] 508 0.4648076147613939 358 555
[die] 509 0.46633359446858974 358 554
[predate] 510 0.46654012826399677 357 555
[predate] 511 0.46757483107716197 356 556
[predate] 512 0.46982417518223796 355 557
[predate] 513 0.4704582775096837 354 558
[grow] 514 0.47086610316369054 355 558
[predate] 515 0.4729597183185981 354 559
[predate] 516 0.473204317697028 353 560
[grow] 517 0.477450692663742 354 560
[predate] 518 0.47782012360105225 353 561
[die] 519 0.4786455433280367 353 560
[die] 520 0.47924129052571146 353 559
[predate] 521 0.4816869540056655 352 560
[grow] 522 0.4819028682231837 353 560
[predate] 523 0.48296151852189356 352 561
[die] 524 0.4836606762477215 352 560
[grow] 525 0.4849332937598218 353 560
[die] 526 0.48749952822101117 353 559
[predate] 527 0.48751440206047564 352 560
[die] 528 0.48775695517967194 352 559
[predate] 529 0.4888847579461735 351 560
[grow] 530 0.49134281590941176 352 560
[die] 531 0.4920207765207241 352 559
[die] 532 0.49362207131676356 352 558
